external_id,posted_date,description,amount,currency
BNK-2026-02-0038,2026-02-04,UNITED 016 CHICAGO IL,-2284.16,USD
BNK-2026-02-0041,2026-02-04,MONTHLY MAINTENANCE FEE,-40.61,USD
BNK-2026-02-0009,2026-02-07,STRIPE TRANSFER ST-11489555,96757.48,USD
BNK-2026-02-0054,2026-02-07,RETURNED ITEM CHARGEBACK,-1088.78,USD
BNK-2026-02-0047,2026-02-08,ANALYSIS SERVICE CHARGE,-129.64,USD
BNK-2026-02-0051,2026-02-08,MONTHLY MAINTENANCE FEE,-34.49,USD
BNK-2026-02-0046,2026-02-10,WIRE TRANSFER FEE INTL,-52.11,USD
BNK-2026-02-0055,2026-02-10,FX CONVERSION SPREAD,-223.42,USD
BNK-2026-02-0043,2026-02-11,RETURNED ITEM CHARGEBACK,-865.54,USD
BNK-2026-02-0052,2026-02-12,ANALYSIS SERVICE CHARGE,-125.15,USD
BNK-2026-02-0037,2026-02-13,UNITED AIRLINES,-2339.52,USD
BNK-2026-02-0044,2026-02-13,FX CONVERSION SPREAD,-249.12,USD
BNK-2026-02-0010,2026-02-14,STRIPE PAYOUT89620741,110156.75,USD
BNK-2026-02-0042,2026-02-14,ANALYSIS SERVICE CHARGE,-113.91,USD
BNK-2026-02-0050,2026-02-14,FX CONVERSION SPREAD,-265.37,USD
BNK-2026-02-0035,2026-02-15,GUSTO PAYROLL 8AM-5PM,-204012.12,USD
BNK-2026-02-0013,2026-02-17,"DEEL, INC. SEPA EUR19205.87",-20617.31,USD
BNK-2026-02-0049,2026-02-19,RETURNED ITEM CHARGEBACK,-929.96,USD
BNK-2026-02-0053,2026-02-19,INTEREST EARNED - SWEEP,1686.52,USD
BNK-2026-02-0048,2026-02-20,INTEREST EARNED - SWEEP,1804.16,USD
BNK-2026-02-0011,2026-02-21,STRIPE TRANSFER ST-60508788,87268.26,USD
BNK-2026-02-0045,2026-02-21,MONTHLY MAINTENANCE FEE,-33.73,USD
BNK-2026-02-0008,2026-02-22,WEWORK 555 MARKET ST,-39500.00,USD
BNK-2026-02-0021,2026-02-22,DIGI-KEY CORP THIEF RIVER,-8339.88,USD
BNK-2026-02-0004,2026-02-24,FIGMA INC HTTPSFIGMA.C,-1299.21,USD
BNK-2026-02-0025,2026-02-24,"FLEXPORT, INC. TRANCHE 1/2",-40524.95,USD
BNK-2026-02-0031,2026-02-25,COOLEY LLP,-20939.87,USD
BNK-2026-02-0040,2026-02-25,IRON MTN,-490.00,USD
BNK-2026-02-0014,2026-02-27,MOUSER ELECTRONICS 800-346,-17636.15,USD
BNK-2026-02-0027,2026-02-27,"FLEXPORT, INC. TRANCHE 1/2",-37423.72,USD
BNK-2026-02-0056,2026-02-27,DEPOSIT IN TRANSIT - LOCKBOX,10862.27,USD
BNK-2026-02-0001,2026-02-28,AWS EMEA SARL,-45480.54,USD
BNK-2026-02-0002,2026-02-28,"DATADOG, INC.",-12362.05,USD
BNK-2026-02-0003,2026-02-28,VERCEL INC. SAN FRANCISCO CA,-4015.87,USD
BNK-2026-02-0005,2026-02-28,LINEAR.APP,-979.28,USD
BNK-2026-02-0006,2026-02-28,SLACK T SALESFORCE,-2240.20,USD
BNK-2026-02-0007,2026-02-28,GITHUB INC HTTPSGITHUB.C,-1694.92,USD
BNK-2026-02-0012,2026-02-28,STRIPE TRANSFER ST-87810911,77896.64,USD
BNK-2026-02-0015,2026-02-28,MOUSER ELECTRONICS 800-346,-15541.09,USD
BNK-2026-02-0016,2026-02-28,MOUSER ELECTRONICS 800-346,-25017.38,USD
BNK-2026-02-0017,2026-02-28,MOUSER ELECTRONI,-26025.85,USD
BNK-2026-02-0018,2026-02-28,MOUSER ELECTRONI,-19575.53,USD
BNK-2026-02-0019,2026-02-28,DIGIKEY ELECTRONICS,-10413.57,USD
BNK-2026-02-0020,2026-02-28,DIGI-KEY CORP THIEF RIVER,-6411.81,USD
BNK-2026-02-0022,2026-02-28,DIGI-KEY CORP THIEF RIVER,-8650.82,USD
BNK-2026-02-0023,2026-02-28,DIGI-KEY CORP THIEF RIVER,-13264.97,USD
BNK-2026-02-0024,2026-02-28,FLEXPORT INC SAN FRANCIS,-46532.96,USD
BNK-2026-02-0029,2026-02-28,COOLEY LLP,-17929.17,USD
BNK-2026-02-0030,2026-02-28,COOLEY LLP,-19514.89,USD
BNK-2026-02-0032,2026-02-28,COOLEY LLP,-22671.96,USD
BNK-2026-02-0033,2026-02-28,DELOITTE LLP AP,-45513.58,USD
BNK-2026-02-0034,2026-02-28,SALESFORCE INC 415-901-70,-240000.00,USD
BNK-2026-02-0036,2026-02-28,GUSTO TAX COLLECTION,-207523.46,USD
BNK-2026-02-0039,2026-02-28,GOOGLE ADS4829174 CC@GOOGL,-19708.57,USD
BNK-2026-02-0057,2026-02-28,ACH DEBIT PENDING VENDOR REF 88213,-4244.10,USD
BNK-2026-02-0026,2026-03-02,"FLEXPORT, INC. TRANCHE 2/2",-27016.64,USD
BNK-2026-02-0028,2026-03-05,"FLEXPORT, INC. TRANCHE 2/2",-24949.15,USD
