external_id,entry_date,gl_code,dept_code,vendor,amount,memo,source
GL-2026-04-0001,2026-04-04,6820,ENG,Amazon Web Services,33749.15,Amazon Web Services AMA-202604-5183,ap
GL-2026-04-0002,2026-04-04,6820,DATA,Amazon Web Services,14062.15,Amazon Web Services AMA-202604-5183,ap
GL-2026-04-0003,2026-04-04,6820,PROD,Amazon Web Services,8437.29,Amazon Web Services AMA-202604-5183,ap
GL-2026-04-0004,2026-04-19,6820,ENG,Vercel,3277.78,Vercel VER-202604-7415,ap
GL-2026-04-0005,2026-04-19,6820,PROD,Vercel,819.45,Vercel VER-202604-7415,ap
GL-2026-04-0006,2026-04-17,6830,PROD,Figma,1103.22,Figma FIG-202604-9921,ap
GL-2026-04-0007,2026-04-17,6830,ENG,Figma,194.69,Figma FIG-202604-9921,ap
GL-2026-04-0008,2026-04-16,6830,ENG,Linear,511.60,Linear LIN-202604-2556,ap
GL-2026-04-0009,2026-04-16,6830,PROD,Linear,279.05,Linear LIN-202604-2556,ap
GL-2026-04-0010,2026-04-16,6830,DATA,Linear,139.53,Linear LIN-202604-2556,ap
GL-2026-04-0011,2026-04-18,6830,GA,Slack Technologies,788.86,Slack Technologies SLA-202604-9481,ap
GL-2026-04-0012,2026-04-18,6830,ENG,Slack Technologies,563.47,Slack Technologies SLA-202604-9481,ap
GL-2026-04-0013,2026-04-18,6830,GTM,Slack Technologies,563.47,Slack Technologies SLA-202604-9481,ap
GL-2026-04-0014,2026-04-18,6830,PROD,Slack Technologies,338.08,Slack Technologies SLA-202604-9481,ap
GL-2026-04-0015,2026-04-07,6830,ENG,GitHub,1581.65,GitHub GIT-202604-1450,ap
GL-2026-04-0016,2026-04-07,6830,DATA,GitHub,175.74,GitHub GIT-202604-1450,ap
GL-2026-04-0017,2026-04-16,6510,GA,WeWork,39500.00,WeWork WEW-202604-4467,ap
GL-2026-04-0018,2026-04-07,4010,GTM,,-119984.82,Product revenue - card settlements,ar
GL-2026-04-0019,2026-04-07,6410,GTM,Stripe,3479.86,Stripe processing fees,bank_fee
GL-2026-04-0020,2026-04-14,4010,GTM,,-113358.27,Product revenue - card settlements,ar
GL-2026-04-0021,2026-04-14,6410,GTM,Stripe,3287.69,Stripe processing fees,bank_fee
GL-2026-04-0022,2026-04-21,4010,GTM,,-110431.66,Product revenue - card settlements,ar
GL-2026-04-0023,2026-04-21,6410,GTM,Stripe,3202.82,Stripe processing fees,bank_fee
GL-2026-04-0024,2026-04-28,4010,GTM,,-83586.47,Product revenue - card settlements,ar
GL-2026-04-0025,2026-04-28,6410,GTM,Stripe,2424.31,Stripe processing fees,bank_fee
GL-2026-04-0026,2026-04-14,6010,ENG,Deel,15916.49,Deel DEE-202604-7347,ap
GL-2026-04-0027,2026-04-14,6010,DATA,Deel,8570.42,Deel DEE-202604-7347,ap
GL-2026-04-0028,2026-04-06,5010,OPS,Mouser Electronics,16259.53,Mouser Electronics MOU-202604-4069,ap
GL-2026-04-0029,2026-04-04,5010,OPS,Mouser Electronics,22764.54,Mouser Electronics MOU-202604-2601,ap
GL-2026-04-0030,2026-04-22,5010,OPS,Mouser Electronics,17055.55,Mouser Electronics MOU-202604-3551,ap
GL-2026-04-0031,2026-04-09,5010,OPS,Mouser Electronics,23655.92,Mouser Electronics MOU-202604-5572,ap
GL-2026-04-0032,2026-04-11,5010,OPS,Mouser Electronics,22896.59,Mouser Electronics MOU-202604-1969,ap
GL-2026-04-0033,2026-04-20,5010,OPS,Digi-Key Electronics,6279.95,Digi-Key Electronics DIG-202604-4479,ap
GL-2026-04-0034,2026-04-11,5010,OPS,Digi-Key Electronics,13444.45,Digi-Key Electronics DIG-202604-7475,ap
GL-2026-04-0035,2026-04-14,5010,OPS,Digi-Key Electronics,6499.43,Digi-Key Electronics DIG-202604-1465,ap
GL-2026-04-0036,2026-04-12,5010,OPS,Digi-Key Electronics,8565.40,Digi-Key Electronics DIG-202604-7909,ap
GL-2026-04-0037,2026-04-04,5010,OPS,Digi-Key Electronics,6037.80,Digi-Key Electronics DIG-202604-9004,ap
GL-2026-04-0038,2026-04-15,5020,OPS,Flexport,57107.54,Flexport FLE-202604-3281,ap
GL-2026-04-0039,2026-04-22,5020,OPS,Flexport,51991.42,Flexport FLE-202604-2630,ap
GL-2026-04-0040,2026-04-02,5020,OPS,Flexport,49569.37,Flexport FLE-202604-9750,ap
GL-2026-04-0041,2026-04-18,6610,GA,Cooley LLP,14036.33,Cooley LLP COO-202604-4569,ap
GL-2026-04-0042,2026-04-12,6610,GA,Cooley LLP,21706.14,Cooley LLP COO-202604-7934,ap
GL-2026-04-0043,2026-04-05,6610,GA,Cooley LLP,21095.85,Cooley LLP COO-202604-2217,ap
GL-2026-04-0044,2026-04-21,6610,GA,Cooley LLP,25125.08,Cooley LLP COO-202604-3293,ap
GL-2026-04-0045,2026-04-12,6610,GA,Cooley LLP,19781.49,Cooley LLP COO-202604-7087,ap
GL-2026-04-0046,2026-04-15,6010,,Gusto,166165.86,Semi-monthly payroll run,payroll
GL-2026-04-0047,2026-04-15,6020,GA,Gusto,36475.43,Employer taxes & benefits,payroll
GL-2026-04-0048,2026-04-30,6010,,Gusto,170748.40,Semi-monthly payroll run,payroll
GL-2026-04-0049,2026-04-30,6020,GA,Gusto,37481.35,Employer taxes & benefits,payroll
GL-2026-04-0050,2026-04-16,6910,GTM,United Airlines,927.35,United Airlines UNI-202604-3989,ap
GL-2026-04-0051,2026-04-16,6910,OPS,United Airlines,618.23,United Airlines UNI-202604-3989,ap
GL-2026-04-0052,2026-04-15,6910,GTM,United Airlines,1119.74,United Airlines UNI-202604-4614,ap
GL-2026-04-0053,2026-04-15,6910,OPS,United Airlines,746.50,United Airlines UNI-202604-4614,ap
GL-2026-04-0054,2026-04-19,6910,GTM,United Airlines,1480.66,United Airlines UNI-202604-7694,ap
GL-2026-04-0055,2026-04-19,6910,OPS,United Airlines,987.10,United Airlines UNI-202604-7694,ap
GL-2026-04-0056,2026-04-08,6910,GTM,United Airlines,1244.62,United Airlines UNI-202604-5302,ap
GL-2026-04-0057,2026-04-08,6910,OPS,United Airlines,829.74,United Airlines UNI-202604-5302,ap
GL-2026-04-0058,2026-04-14,6710,GTM,Google Ads,19796.81,Google Ads GOO-202604-8886,ap
GL-2026-04-0059,2026-04-12,6510,GA,Iron Mountain,477.23,Iron Mountain IRO-202604-8532,ap
GL-2026-04-0060,2026-04-06,6410,GA,,27.24,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-04-0061,2026-04-11,6410,GA,,45.55,WIRE TRANSFER FEE INTL,bank_fee
GL-2026-04-0062,2026-04-21,6410,GA,,135.95,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-04-0063,2026-04-16,4020,GA,,-2256.92,INTEREST EARNED - SWEEP,bank_fee
GL-2026-04-0064,2026-04-04,6410,GTM,,662.15,RETURNED ITEM CHARGEBACK,bank_fee
GL-2026-04-0065,2026-04-14,7010,GA,,178.19,FX CONVERSION SPREAD,bank_fee
GL-2026-04-0066,2026-04-22,6410,GA,,43.63,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-04-0067,2026-04-22,6410,GA,,123.26,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-04-0068,2026-04-19,4020,GA,,-2630.28,INTEREST EARNED - SWEEP,bank_fee
GL-2026-04-0069,2026-04-22,6410,GTM,,825.03,RETURNED ITEM CHARGEBACK,bank_fee
GL-2026-04-0070,2026-04-12,7010,GA,,177.03,FX CONVERSION SPREAD,bank_fee
GL-2026-04-0071,2026-04-09,6410,GA,,34.97,MONTHLY MAINTENANCE FEE,bank_fee
GL-2026-04-0072,2026-04-18,6410,GA,,46.85,WIRE TRANSFER FEE INTL,bank_fee
GL-2026-04-0073,2026-04-14,6410,GA,,147.72,ANALYSIS SERVICE CHARGE,bank_fee
GL-2026-04-0074,2026-04-17,4020,GA,,-2333.94,INTEREST EARNED - SWEEP,bank_fee
GL-2026-04-0075,2026-04-21,7010,GA,,216.05,FX CONVERSION SPREAD,bank_fee
