external_id,posted_date,description,amount,currency
BNK-2026-04-0045,2026-04-04,RETURNED ITEM CHARGEBACK,-662.15,USD
BNK-2026-04-0041,2026-04-06,MONTHLY MAINTENANCE FEE,-27.24,USD
BNK-2026-04-0008,2026-04-07,STRIPE PAYOUT88368363,116504.96,USD
BNK-2026-04-0038,2026-04-08,UNITED AIRLINES,-2074.36,USD
BNK-2026-04-0052,2026-04-09,MONTHLY MAINTENANCE FEE,-34.97,USD
BNK-2026-04-0042,2026-04-11,WIRE TRANSFER FEE INTL,-45.55,USD
BNK-2026-04-0051,2026-04-12,FX CONVERSION SPREAD,-177.03,USD
BNK-2026-04-0009,2026-04-14,STRIPE TRANSFER ST-37513628,110070.58,USD
BNK-2026-04-0046,2026-04-14,FX CONVERSION SPREAD,-178.19,USD
BNK-2026-04-0054,2026-04-14,ANALYSIS SERVICE CHARGE,-147.72,USD
BNK-2026-04-0033,2026-04-15,GUSTO TAX COLLECTION,-202641.29,USD
BNK-2026-04-0036,2026-04-15,UNITED AIRLINES,-1866.24,USD
BNK-2026-04-0035,2026-04-16,UNITED 016 CHICAGO IL,-1545.58,USD
BNK-2026-04-0044,2026-04-16,INTEREST EARNED - SWEEP,2256.92,USD
BNK-2026-04-0007,2026-04-17,WEWORK COMPANIES LLC,-39500.00,USD
BNK-2026-04-0055,2026-04-17,INTEREST EARNED - SWEEP,2333.94,USD
BNK-2026-04-0053,2026-04-18,WIRE TRANSFER FEE INTL,-46.85,USD
BNK-2026-04-0037,2026-04-19,UNITED AIRLINES,-2467.76,USD
BNK-2026-04-0049,2026-04-19,INTEREST EARNED - SWEEP,2630.28,USD
BNK-2026-04-0010,2026-04-21,STRIPE PAYOUT78114392,107228.84,USD
BNK-2026-04-0043,2026-04-21,ANALYSIS SERVICE CHARGE,-135.95,USD
BNK-2026-04-0056,2026-04-21,FX CONVERSION SPREAD,-216.05,USD
BNK-2026-04-0027,2026-04-22,FLEXPORT INC SAN FRANCIS,-49569.37,USD
BNK-2026-04-0047,2026-04-22,MONTHLY MAINTENANCE FEE,-43.63,USD
BNK-2026-04-0048,2026-04-22,ANALYSIS SERVICE CHARGE,-123.26,USD
BNK-2026-04-0050,2026-04-22,RETURNED ITEM CHARGEBACK,-825.03,USD
BNK-2026-04-0001,2026-04-24,AMAZON WEB SERVICES AWS EMEA SARL LUXEMBOURG,-56248.58,USD
BNK-2026-04-0014,2026-04-24,MOUSER ELECTRONI,-22764.54,USD
BNK-2026-04-0022,2026-04-24,DIGI-KEY CORP THIEF RIVER,-6037.80,USD
BNK-2026-04-0030,2026-04-25,COOLEY LLP OPERATING,-21095.85,USD
BNK-2026-04-0013,2026-04-26,MOUSER ELECTRONI,-16259.53,USD
BNK-2026-04-0006,2026-04-27,MSFT * GITHUB,-1757.39,USD
BNK-2026-04-0057,2026-04-27,DEPOSIT IN TRANSIT - LOCKBOX,16252.90,USD
BNK-2026-04-0002,2026-04-28,VERCEL INC,-4097.23,USD
BNK-2026-04-0003,2026-04-28,"FIGMA, INC.",-1297.90,USD
BNK-2026-04-0004,2026-04-28,LINEAR.APP,-930.18,USD
BNK-2026-04-0005,2026-04-28,SLACK T SALESFORCE,-2253.88,USD
BNK-2026-04-0011,2026-04-28,STRIPE PAYOUT19577138,81162.16,USD
BNK-2026-04-0012,2026-04-28,DEEL INC EUR CONTRACTOR EUR22589.40,-24300.53,USD
BNK-2026-04-0015,2026-04-28,MOUSER ELECTRONICS 800-346,-17055.55,USD
BNK-2026-04-0016,2026-04-28,MOUSER ELECTRONI,-23655.92,USD
BNK-2026-04-0017,2026-04-28,MOUSER ELECTRONICS 800-346,-22896.59,USD
BNK-2026-04-0018,2026-04-28,DIGI-KEY CORP THIEF RIVER,-6279.95,USD
BNK-2026-04-0019,2026-04-28,DIGI-KEY CORP THIEF RIVER,-13444.45,USD
BNK-2026-04-0020,2026-04-28,DIGIKEY ELECTRONICS,-6499.43,USD
BNK-2026-04-0021,2026-04-28,DIGI-KEY CORP THIEF RIVER,-8565.40,USD
BNK-2026-04-0023,2026-04-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-34264.52,USD
BNK-2026-04-0025,2026-04-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-31194.85,USD
BNK-2026-04-0028,2026-04-28,COOLEY LLP,-14036.33,USD
BNK-2026-04-0029,2026-04-28,COOLEY LLP,-21706.14,USD
BNK-2026-04-0031,2026-04-28,COOLEY LLP OPERATING,-25125.08,USD
BNK-2026-04-0032,2026-04-28,COOLEY LLP OPERATING,-19781.49,USD
BNK-2026-04-0039,2026-04-28,GOOGLE ADS4829174 CC@GOOGL,-19796.81,USD
BNK-2026-04-0040,2026-04-28,IRON MTN,-477.23,USD
BNK-2026-04-0058,2026-04-28,ACH DEBIT PENDING VENDOR REF 88213,-3076.61,USD
BNK-2026-04-0034,2026-04-30,GUSTO TAX COLLECTION,-208229.75,USD
BNK-2026-04-0024,2026-05-04,FLEXPORT INC SAN FRANCIS TRANCHE 2/2,-22843.02,USD
BNK-2026-04-0026,2026-05-04,FLEXPORT INC SAN FRANCIS TRANCHE 2/2,-20796.57,USD
