external_id,entry_date,gl_code,dept_code,vendor,amount,memo,source
GL-2026-01-0001,2026-01-13,6820,ENG,Amazon Web Services,29225.52,Amazon Web Services AMA-202601-5427,ap
GL-2026-01-0002,2026-01-13,6820,DATA,Amazon Web Services,12177.30,Amazon Web Services AMA-202601-5427,ap
GL-2026-01-0003,2026-01-13,6820,PROD,Amazon Web Services,7306.38,Amazon Web Services AMA-202601-5427,ap
GL-2026-01-0004,2026-01-23,6820,ENG,Datadog,8517.33,Datadog DAT-202601-6298,ap
GL-2026-01-0005,2026-01-23,6820,DATA,Datadog,3650.29,Datadog DAT-202601-6298,ap
GL-2026-01-0006,2026-01-12,6820,ENG,Vercel,3336.22,Vercel VER-202601-5484,ap
GL-2026-01-0007,2026-01-12,6820,PROD,Vercel,834.05,Vercel VER-202601-5484,ap
GL-2026-01-0008,2026-01-08,6830,PROD,Figma,1140.40,Figma FIG-202601-3285,ap
GL-2026-01-0009,2026-01-08,6830,ENG,Figma,201.25,Figma FIG-202601-3285,ap
GL-2026-01-0010,2026-01-09,6830,ENG,Linear,523.48,Linear LIN-202601-7232,ap
GL-2026-01-0011,2026-01-09,6830,PROD,Linear,285.53,Linear LIN-202601-7232,ap
GL-2026-01-0012,2026-01-09,6830,DATA,Linear,142.77,Linear LIN-202601-7232,ap
GL-2026-01-0013,2026-01-13,6830,GA,Slack Technologies,715.82,Slack Technologies SLA-202601-6983,ap
GL-2026-01-0014,2026-01-13,6830,ENG,Slack Technologies,511.30,Slack Technologies SLA-202601-6983,ap
GL-2026-01-0015,2026-01-13,6830,GTM,Slack Technologies,511.30,Slack Technologies SLA-202601-6983,ap
GL-2026-01-0016,2026-01-13,6830,PROD,Slack Technologies,306.78,Slack Technologies SLA-202601-6983,ap
GL-2026-01-0017,2026-01-08,6830,ENG,GitHub,1600.21,GitHub GIT-202601-8050,ap
GL-2026-01-0018,2026-01-08,6830,DATA,GitHub,177.80,GitHub GIT-202601-8050,ap
GL-2026-01-0019,2026-01-18,6510,GA,WeWork,39500.00,WeWork WEW-202601-7230,ap
GL-2026-01-0020,2026-01-07,4010,GTM,,-78265.04,Product revenue - card settlements,ar
GL-2026-01-0021,2026-01-07,6410,GTM,Stripe,2269.99,Stripe processing fees,bank_fee
GL-2026-01-0022,2026-01-14,4010,GTM,,-116017.68,Product revenue - card settlements,ar
GL-2026-01-0023,2026-01-14,6410,GTM,Stripe,3364.81,Stripe processing fees,bank_fee
GL-2026-01-0024,2026-01-21,4010,GTM,,-76541.28,Product revenue - card settlements,ar
GL-2026-01-0025,2026-01-21,6410,GTM,Stripe,2220.00,Stripe processing fees,bank_fee
GL-2026-01-0026,2026-01-28,4010,GTM,,-93731.81,Product revenue - card settlements,ar
GL-2026-01-0027,2026-01-28,6410,GTM,Stripe,2718.52,Stripe processing fees,bank_fee
GL-2026-01-0028,2026-01-19,6010,ENG,Deel,14439.48,Deel DEE-202601-4827,ap
GL-2026-01-0029,2026-01-19,6010,DATA,Deel,7775.11,Deel DEE-202601-4827,ap
GL-2026-01-0030,2026-01-18,5010,OPS,Mouser Electronics,20551.24,Mouser Electronics MOU-202601-7494,ap
GL-2026-01-0031,2026-01-06,5010,OPS,Mouser Electronics,24255.92,Mouser Electronics MOU-202601-8036,ap
GL-2026-01-0032,2026-01-18,5010,OPS,Digi-Key Electronics,8757.88,Digi-Key Electronics DIG-202601-2169,ap
GL-2026-01-0033,2026-01-20,5010,OPS,Digi-Key Electronics,5956.28,Digi-Key Electronics DIG-202601-9439,ap
GL-2026-01-0034,2026-01-15,5010,OPS,Digi-Key Electronics,8245.29,Digi-Key Electronics DIG-202601-3144,ap
GL-2026-01-0035,2026-01-12,5010,OPS,Digi-Key Electronics,6800.24,Digi-Key Electronics DIG-202601-3537,ap
GL-2026-01-0036,2026-01-07,5010,OPS,Digi-Key Electronics,6790.07,Digi-Key Electronics DIG-202601-7228,ap
GL-2026-01-0037,2026-01-20,5020,OPS,Flexport,55954.34,Flexport FLE-202601-4016,ap
GL-2026-01-0038,2026-01-22,5020,OPS,Flexport,70745.18,Flexport FLE-202601-9265,ap
GL-2026-01-0039,2026-01-02,5020,OPS,Flexport,47142.80,Flexport FLE-202601-9355,ap
GL-2026-01-0040,2026-01-09,6610,GA,Cooley LLP,34639.35,Cooley LLP COO-202601-7754,ap
GL-2026-01-0041,2026-01-05,6610,GA,Cooley LLP,30215.17,Cooley LLP COO-202601-9022,ap
