external_id,posted_date,description,amount,currency
BNK-2026-01-0039,2026-01-03,ANALYSIS SERVICE CHARGE,-141.96,USD
BNK-2026-01-0047,2026-01-06,FX CONVERSION SPREAD,-180.70,USD
BNK-2026-01-0009,2026-01-07,STRIPE TRANSFER ST-82787610,75995.05,USD
BNK-2026-01-0044,2026-01-07,WIRE TRANSFER FEE INTL,-42.13,USD
BNK-2026-01-0034,2026-01-08,UNITED 016 CHICAGO IL,-1468.78,USD
BNK-2026-01-0035,2026-01-08,UNITED AIRLINES,-2421.41,USD
BNK-2026-01-0046,2026-01-08,RETURNED ITEM CHARGEBACK,-825.07,USD
BNK-2026-01-0051,2026-01-10,INTEREST EARNED - SWEEP,2277.93,USD
BNK-2026-01-0052,2026-01-12,RETURNED ITEM CHARGEBACK,-683.38,USD
BNK-2026-01-0010,2026-01-14,STRIPE TRANSFER ST-81175004,112652.87,USD
BNK-2026-01-0033,2026-01-14,UNITED AIRLINES,-1571.55,USD
BNK-2026-01-0031,2026-01-15,GUSTO TAX COLLECTION,-207975.03,USD
BNK-2026-01-0038,2026-01-15,WIRE TRANSFER FEE INTL,-41.90,USD
BNK-2026-01-0040,2026-01-15,INTEREST EARNED - SWEEP,2207.58,USD
BNK-2026-01-0043,2026-01-16,MONTHLY MAINTENANCE FEE,-31.61,USD
BNK-2026-01-0042,2026-01-17,FX CONVERSION SPREAD,-213.99,USD
BNK-2026-01-0008,2026-01-19,WEWORK 555 MARKET ST,-39500.00,USD
BNK-2026-01-0011,2026-01-21,STRIPE TRANSFER ST-15579214,74321.28,USD
BNK-2026-01-0041,2026-01-21,RETURNED ITEM CHARGEBACK,-1053.26,USD
BNK-2026-01-0045,2026-01-21,ANALYSIS SERVICE CHARGE,-147.61,USD
BNK-2026-01-0025,2026-01-22,"FLEXPORT, INC.",-47142.80,USD
BNK-2026-01-0027,2026-01-25,COOLEY LLP OPERATING,-30215.17,USD
BNK-2026-01-0049,2026-01-25,WIRE TRANSFER FEE INTL,-37.29,USD
BNK-2026-01-0050,2026-01-25,ANALYSIS SERVICE CHARGE,-109.38,USD
BNK-2026-01-0015,2026-01-26,MOUSER ELECTRONI,-24255.92,USD
BNK-2026-01-0020,2026-01-27,DIGI-KEY CORP THIEF RIVER,-6790.07,USD
BNK-2026-01-0028,2026-01-27,COOLEY LLP,-26909.45,USD
BNK-2026-01-0029,2026-01-27,COOLEY LLP OPERATING,-26943.83,USD
BNK-2026-01-0048,2026-01-27,MONTHLY MAINTENANCE FEE,-35.34,USD
BNK-2026-01-0053,2026-01-27,DEPOSIT IN TRANSIT - LOCKBOX,11326.35,USD
BNK-2026-01-0001,2026-01-28,AMZN WEB SVCS,-48709.20,USD
BNK-2026-01-0002,2026-01-28,DATADOG INC 866-329-4466,-12167.62,USD
BNK-2026-01-0003,2026-01-28,VERCEL INC. SAN FRANCISCO CA,-4170.27,USD
BNK-2026-01-0004,2026-01-28,"FIGMA, INC.",-1341.65,USD
BNK-2026-01-0005,2026-01-28,LINEAR.APP,-951.78,USD
BNK-2026-01-0006,2026-01-28,SLACK T SALESFORCE,-2045.20,USD
BNK-2026-01-0007,2026-01-28,MSFT * GITHUB,-1778.01,USD
BNK-2026-01-0012,2026-01-28,STRIPE PAYOUT82725324,91013.29,USD
BNK-2026-01-0013,2026-01-28,DEEL INC EUR CONTRACTOR EUR20493.16,-22292.08,USD
BNK-2026-01-0014,2026-01-28,MOUSER ELECTRONICS 800-346,-20551.24,USD
BNK-2026-01-0016,2026-01-28,DIGIKEY ELECTRONICS,-8757.88,USD
BNK-2026-01-0017,2026-01-28,DIGIKEY ELECTRONICS,-5956.28,USD
BNK-2026-01-0018,2026-01-28,DIGI-KEY CORP THIEF RIVER,-8245.29,USD
BNK-2026-01-0019,2026-01-28,DIGIKEY ELECTRONICS,-6800.24,USD
BNK-2026-01-0021,2026-01-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-33572.60,USD
BNK-2026-01-0023,2026-01-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-42447.11,USD
BNK-2026-01-0026,2026-01-28,COOLEY LLP OPERATING,-34639.35,USD
BNK-2026-01-0030,2026-01-28,COOLEY LLP OPERATING,-25328.92,USD
BNK-2026-01-0036,2026-01-28,GOOGLE ADS4829174 CC@GOOGL,-14996.14,USD
BNK-2026-01-0037,2026-01-28,IRON MTN,-489.64,USD
BNK-2026-01-0054,2026-01-28,ACH DEBIT PENDING VENDOR REF 88213,-2010.14,USD
BNK-2026-01-0032,2026-01-30,GUSTO PAYROLL 8AM-5PM,-201401.81,USD
BNK-2026-01-0022,2026-02-03,"FLEXPORT, INC. TRANCHE 2/2",-22381.74,USD
BNK-2026-01-0024,2026-02-03,"FLEXPORT, INC. TRANCHE 2/2",-28298.07,USD
