external_id,entry_date,gl_code,dept_code,vendor,amount,memo,source
GL-2026-03-0001,2026-03-11,6820,ENG,Amazon Web Services,32902.42,Amazon Web Services AMA-202603-6378,ap
GL-2026-03-0002,2026-03-11,6820,DATA,Amazon Web Services,13709.34,Amazon Web Services AMA-202603-6378,ap
GL-2026-03-0003,2026-03-11,6820,PROD,Amazon Web Services,8225.60,Amazon Web Services AMA-202603-6378,ap
GL-2026-03-0004,2026-03-03,6820,ENG,Datadog,9330.91,Datadog DAT-202603-4324,ap
GL-2026-03-0005,2026-03-03,6820,DATA,Datadog,3998.96,Datadog DAT-202603-4324,ap
GL-2026-03-0006,2026-03-10,6820,ENG,Vercel,2970.74,Vercel VER-202603-2987,ap
GL-2026-03-0007,2026-03-10,6820,PROD,Vercel,742.69,Vercel VER-202603-2987,ap
GL-2026-03-0008,2026-03-22,6830,PROD,Figma,1140.98,Figma FIG-202603-7018,ap
GL-2026-03-0009,2026-03-22,6830,ENG,Figma,201.35,Figma FIG-202603-7018,ap
GL-2026-03-0010,2026-03-02,6830,ENG,Linear,515.92,Linear LIN-202603-2269,ap
GL-2026-03-0011,2026-03-02,6830,PROD,Linear,281.41,Linear LIN-202603-2269,ap
GL-2026-03-0012,2026-03-02,6830,DATA,Linear,140.70,Linear LIN-202603-2269,ap
GL-2026-03-0013,2026-03-23,6830,GA,Slack Technologies,749.68,Slack Technologies SLA-202603-1677,ap
GL-2026-03-0014,2026-03-23,6830,ENG,Slack Technologies,535.49,Slack Technologies SLA-202603-1677,ap
GL-2026-03-0015,2026-03-23,6830,GTM,Slack Technologies,535.49,Slack Technologies SLA-202603-1677,ap
GL-2026-03-0016,2026-03-23,6830,PROD,Slack Technologies,321.29,Slack Technologies SLA-202603-1677,ap
GL-2026-03-0017,2026-03-02,6830,ENG,GitHub,1574.73,GitHub GIT-202603-8799,ap
GL-2026-03-0018,2026-03-02,6830,DATA,GitHub,174.97,GitHub GIT-202603-8799,ap
GL-2026-03-0019,2026-03-15,6510,GA,WeWork,39500.00,WeWork WEW-202603-2593,ap
